headline,link,date
Hess Beats Q3 Earnings Estimates On Robust Guyana Output,https://oilprice.com/Latest-Energy-News/World-News/Hess-Beats-Q3-Earnings-Estimates-On-Robust-Guyana-Output.html,"Oct 30, 2024 at 13:13 | Alex Kimani"
U.S. Governors Demand Power Price Overhaul As Costs Balloon 10 Fold,https://oilprice.com/Latest-Energy-News/World-News/US-Governors-Demand-Power-Price-Overhaul-As-Costs-Balloon-10-Fold.html,"Oct 30, 2024 at 12:10 | Julianne Geiger"
Russia’s Gazprom Boosts 2024 Investments to $16.9 Billion,https://oilprice.com/Latest-Energy-News/World-News/Russias-Gazprom-Boosts-2024-Investments-to-169-Billion.html,"Oct 30, 2024 at 10:44 | Charles Kennedy"
Investment Giants Form $50-Billion AI and Power Partnership,https://oilprice.com/Latest-Energy-News/World-News/Investment-Giants-Form-50-Billion-AI-and-Power-Partnership.html,"Oct 30, 2024 at 09:20 | Charles Kennedy"
Vietnamese EV Maker Gets $1 Billion in Funding Led by UAE,https://oilprice.com/Latest-Energy-News/World-News/Vietnamese-EV-Maker-Gets-1-Billion-in-Funding-Led-by-UAE.html,"Oct 30, 2024 at 08:55 | Charles Kennedy"
The West Needs Incentives to Cut Russian Nuclear Fuel Dependence,https://oilprice.com/Latest-Energy-News/World-News/The-West-Needs-Incentives-to-Cut-Russian-Nuclear-Fuel-Dependence.html,"Oct 30, 2024 at 08:03 | Tsvetana Paraskova"
Gazprom Unit Sues Industrial Gases Giant Linde for $884 Million,https://oilprice.com/Latest-Energy-News/World-News/Gazprom-Unit-Sues-Industrial-Gases-Giant-Linde-for-884-Million.html,"Oct 30, 2024 at 07:33 | Tsvetana Paraskova"
Chinese Oil Major to Explore Iraqi Field,https://oilprice.com/Latest-Energy-News/World-News/Chinese-Oil-Major-to-Explore-Iraqi-Field.html,"Oct 30, 2024 at 06:09 | Charles Kennedy"
Oil Prices Remain Subdued on the Prospect of an Israel-Lebanon Ceasefire,https://oilprice.com/Latest-Energy-News/World-News/Oil-Prices-Remain-Subdued-on-Prospect-of-Israel-Lebanon-Ceasefire.html,"Oct 30, 2024 at 04:55 | Irina Slav"
Ukraine and Russia Discuss Halting Attacks on Energy Sites,https://oilprice.com/Latest-Energy-News/World-News/Ukraine-and-Russia-Discuss-Halting-Attacks-on-Energy-Sites.html,"Oct 30, 2024 at 04:05 | Tsvetana Paraskova"
Lukoil’s Trading Arm Looks to Revive U.S. Business,https://oilprice.com/Latest-Energy-News/World-News/Lukoils-Trading-Arm-Looks-to-Revive-US-Business.html,"Oct 30, 2024 at 03:08 | Tsvetana Paraskova"
"Unexpected Crude, Product Draws Send Oil Prices Up",https://oilprice.com/Latest-Energy-News/World-News/Unexpected-Crude-Product-Draws-Send-Oil-Prices-Up.html,"Oct 29, 2024 at 15:51 | Julianne Geiger"
"U.S. To Buy 3 Million Barrels for The SPR, But There’s A Problem",https://oilprice.com/Latest-Energy-News/World-News/US-To-Buy-3-Million-Barrels-for-The-SPR-But-Theres-A-Problem.html,"Oct 29, 2024 at 13:56 | Alex Kimani"
"As Oil Job Losses Mount, Steelworkers Union Looks to Clean Energy",https://oilprice.com/Latest-Energy-News/World-News/As-Oil-Job-Losses-Mount-Steelworkers-Union-Looks-to-Clean-Energy.html,"Oct 29, 2024 at 13:05 | Alex Kimani"
TotalEnergies to Produce More Gas Condensate Offshore Denmark,https://oilprice.com/Latest-Energy-News/World-News/TotalEnergies-to-Produce-More-Gas-Condensate-Offshore-Denmark.html,"Oct 29, 2024 at 10:59 | Charles Kennedy"
Phillips 66 Beats Analyst Estimates Despite Earnings Dip in Q3,https://oilprice.com/Latest-Energy-News/World-News/Phillips-66-Beats-Analyst-Estimates-Despite-Earnings-Dip-in-Q3.html,"Oct 29, 2024 at 09:52 | Charles Kennedy"
UK Offshore Oil Platform Halted Due to Gas Compressor Issue,https://oilprice.com/Latest-Energy-News/World-News/UK-Offshore-Oil-Platform-Halted-Due-to-Gas-Compressor-Issue.html,"Oct 29, 2024 at 09:12 | Charles Kennedy"
Nigeria Discusses Crude and Fuel Supply with Africa’s Top Refinery,https://oilprice.com/Latest-Energy-News/World-News/Nigeria-Discusses-Crude-and-Fuel-Supply-with-Africas-Top-Refinery.html,"Oct 29, 2024 at 07:56 | Tsvetana Paraskova"
Austria’s OMV Profit Slumps on Weak Oil Trading and Refining,https://oilprice.com/Latest-Energy-News/World-News/Austrias-OMV-Profit-Slumps-on-Weak-Oil-Trading-and-Refining.html,"Oct 29, 2024 at 07:06 | Tsvetana Paraskova"
BP Earnings Top Forecasts Despite Weaker Oil Prices and Refining,https://oilprice.com/Latest-Energy-News/World-News/BP-Earnings-Top-Forecasts-Despite-Weaker-Oil-Prices-and-Refining.html,"Oct 29, 2024 at 06:03 | Tsvetana Paraskova"
