time,open,high,low,Close,Volume
2022-01-11 09:30:00+00:00,142.19,144.57,141.84,144.0,3694
2022-01-11 09:35:00+00:00,143.91,145.5,142.86,143.35,2170
2022-01-11 09:40:00+00:00,143.42,144.48,143.0,144.25,1196
2022-01-11 09:45:00+00:00,144.22,145.11,143.4,144.4,1560
2022-01-11 09:50:00+00:00,144.26,146.35,143.64,145.12,1511
2022-01-11 09:55:00+00:00,145.09,146.35,144.75,146.28,1101
2022-01-11 10:00:00+00:00,146.21,147.25,145.71,147.22,1703
2022-01-11 10:05:00+00:00,147.22,147.75,146.12,146.36,1440
2022-01-11 10:10:00+00:00,146.31,148.33,146.14,148.11,1750
2022-01-11 10:15:00+00:00,148.18,148.37,145.91,146.3,1146
2022-01-11 10:20:00+00:00,146.29,147.49,146.21,146.86,917
2022-01-11 10:25:00+00:00,146.83,147.44,146.37,146.43,1059
2022-01-11 10:30:00+00:00,146.34,146.96,145.3,145.39,973
2022-01-11 10:35:00+00:00,145.44,145.74,145.02,145.46,979
2022-01-11 10:40:00+00:00,145.45,145.52,144.24,144.56,1117
2022-01-11 10:45:00+00:00,144.52,145.05,144.37,144.89,794
2022-01-11 10:50:00+00:00,144.94,145.07,144.7,145.02,467
2022-01-11 10:55:00+00:00,145.09,145.39,144.59,145.32,643
2022-01-11 11:00:00+00:00,145.33,146.61,145.28,146.47,971
2022-01-11 11:05:00+00:00,146.48,146.97,146.34,146.44,715
2022-01-11 11:10:00+00:00,146.52,147.45,146.43,147.39,850
2022-01-11 11:15:00+00:00,147.44,148.1,147.26,147.82,849
2022-01-11 11:20:00+00:00,147.95,148.01,147.26,147.47,554
2022-01-11 11:25:00+00:00,147.56,147.91,147.37,147.87,807
2022-01-11 11:30:00+00:00,147.87,147.94,147.14,147.92,484
2022-01-11 11:35:00+00:00,147.91,148.35,147.83,148.23,636
2022-01-11 11:40:00+00:00,148.27,148.9,148.0,148.46,1105
2022-01-11 11:45:00+00:00,148.48,148.71,147.92,148.64,1169
2022-01-11 11:50:00+00:00,148.64,149.4,148.53,149.38,2319
2022-01-11 11:55:00+00:00,149.37,150.12,149.37,150.09,1364
2022-01-11 12:00:00+00:00,150.09,150.22,149.07,149.34,1970
2022-01-11 12:05:00+00:00,149.33,149.84,149.19,149.76,469
2022-01-11 12:10:00+00:00,149.79,150.14,149.42,149.47,879
2022-01-11 12:15:00+00:00,149.45,149.58,149.21,149.42,376
2022-01-11 12:20:00+00:00,149.44,149.55,148.95,149.31,780
2022-01-11 12:25:00+00:00,149.36,149.36,148.13,148.55,1064
2022-01-11 12:30:00+00:00,148.57,148.86,148.38,148.84,366
2022-01-11 12:35:00+00:00,148.84,148.86,148.27,148.56,452
2022-01-11 12:40:00+00:00,148.57,149.0,148.27,148.86,512
2022-01-11 12:45:00+00:00,148.92,148.92,148.17,148.19,468
2022-01-11 12:50:00+00:00,148.28,148.55,148.21,148.41,215
2022-01-11 12:55:00+00:00,148.4,148.58,148.19,148.54,243
2022-01-11 13:00:00+00:00,148.5,148.5,148.09,148.15,428
2022-01-11 13:05:00+00:00,148.14,148.94,147.71,148.94,748
2022-01-11 13:10:00+00:00,148.9,149.7,148.81,149.59,873
2022-01-11 13:15:00+00:00,149.57,150.03,149.42,150.0,860
2022-01-11 13:20:00+00:00,150.04,150.59,149.6,149.89,1515
2022-01-11 13:25:00+00:00,149.94,150.2,149.78,150.05,765
2022-01-11 13:30:00+00:00,150.09,150.41,149.93,150.13,852
2022-01-11 13:35:00+00:00,150.12,150.23,149.9,150.1,545
2022-01-11 13:40:00+00:00,150.11,150.34,149.96,150.01,440
2022-01-11 13:45:00+00:00,150.09,150.25,149.94,150.09,553
2022-01-11 13:50:00+00:00,150.05,150.25,149.95,150.05,357
2022-01-11 13:55:00+00:00,150.08,150.25,150.0,150.18,297
2022-01-11 14:00:00+00:00,150.15,151.45,150.0,151.44,1300
2022-01-11 14:05:00+00:00,151.46,151.5,150.76,150.88,1369
2022-01-11 14:10:00+00:00,150.92,150.98,150.46,150.78,837
2022-01-11 14:15:00+00:00,150.75,150.85,150.44,150.61,553
2022-01-11 14:20:00+00:00,150.59,150.72,150.23,150.44,726
2022-01-11 14:25:00+00:00,150.4,150.44,149.93,150.41,866
