Date,Open,High,Low,Close,Volume
20241212  04:00:00,606.58,606.77,606.58,606.69,13
20241212  04:05:00,606.76,606.76,606.68,606.7,13
20241212  04:10:00,606.67,606.71,606.67,606.67,10
20241212  04:15:00,606.65,606.71,606.65,606.71,132
20241212  04:20:00,606.71,606.82,606.71,606.81,83
20241212  04:25:00,606.81,606.81,606.81,606.81,0
20241212  04:30:00,606.6,606.6,606.6,606.6,1
20241212  04:35:00,606.66,606.66,606.6,606.6,2
20241212  04:40:00,606.6,606.6,606.6,606.6,3
20241212  04:45:00,606.6,606.6,606.6,606.6,0
20241212  04:50:00,606.67,606.67,606.67,606.67,16
20241212  04:55:00,606.55,606.56,606.52,606.56,4
20241212  05:00:00,606.49,606.5,606.49,606.5,6
20241212  05:05:00,606.65,606.65,606.6,606.6,16
20241212  05:10:00,606.54,606.54,606.54,606.54,5
20241212  05:15:00,606.63,606.63,606.6,606.61,7
20241212  05:20:00,606.61,606.61,606.61,606.61,0
20241212  05:25:00,606.61,606.61,606.61,606.61,0
20241212  05:30:00,606.61,606.61,606.61,606.61,0
20241212  05:35:00,606.69,606.7,606.69,606.7,4
20241212  05:40:00,606.7,606.7,606.7,606.7,0
20241212  05:45:00,606.69,606.73,606.69,606.73,3
20241212  05:50:00,606.69,606.7,606.64,606.64,8
20241212  05:55:00,606.68,606.68,606.68,606.68,2
20241212  06:00:00,606.76,606.76,606.71,606.71,2
20241212  06:05:00,606.71,606.78,606.65,606.65,4
20241212  06:10:00,606.6,606.6,606.4,606.4,16
20241212  06:15:00,606.39,606.54,606.39,606.54,12
20241212  06:20:00,606.55,606.55,606.55,606.55,5
20241212  06:25:00,606.45,606.49,606.45,606.49,4
20241212  06:30:00,606.48,606.57,606.48,606.57,4
20241212  06:35:00,606.55,606.55,606.55,606.55,1
20241212  06:40:00,606.64,606.64,606.57,606.58,3
20241212  06:45:00,606.64,606.64,606.63,606.63,12
20241212  06:50:00,606.57,606.6,606.56,606.56,13
20241212  06:55:00,606.6,606.6,606.52,606.52,7
20241212  07:00:00,606.5,606.54,606.45,606.45,98
20241212  07:05:00,606.61,606.62,606.61,606.62,3
20241212  07:10:00,606.64,606.73,606.6,606.71,19
20241212  07:15:00,606.68,606.68,606.62,606.65,59
20241212  07:20:00,606.72,606.74,606.72,606.74,8
20241212  07:25:00,606.68,606.75,606.65,606.65,18
20241212  07:30:00,606.69,606.69,606.5,606.5,12
20241212  07:35:00,606.48,606.59,606.42,606.59,93
20241212  07:40:00,606.59,606.59,606.43,606.46,32
20241212  07:45:00,606.47,606.6,606.47,606.5,271
20241212  07:50:00,606.51,606.51,606.34,606.34,108
20241212  07:55:00,606.35,606.41,606.35,606.39,19
20241212  08:00:00,606.49,607.06,606.11,606.11,366
20241212  08:05:00,606.13,606.42,606.12,606.4,132
20241212  08:10:00,606.35,606.5,606.35,606.5,55
20241212  08:15:00,606.5,606.6,606.5,606.56,76
20241212  08:20:00,606.56,606.72,606.56,606.64,71
20241212  08:25:00,606.64,606.73,606.55,606.59,142
20241212  08:30:00,606.4,607.05,606.01,606.06,998
20241212  08:35:00,606.04,606.09,605.56,605.92,618
20241212  08:40:00,605.86,606.2,605.82,606.1,271
20241212  08:45:00,606.14,606.29,606.03,606.14,191
20241212  08:50:00,606.12,606.27,606.04,606.15,165
20241212  08:55:00,606.13,606.14,606.01,606.04,67
20241212  09:00:00,606.19,606.45,606.19,606.35,244
20241212  09:05:00,606.25,606.4,606.25,606.34,53
20241212  09:10:00,606.35,606.41,606.0,606.02,149
20241212  09:15:00,606.0,606.2,605.97,606.01,463
20241212  09:20:00,606.11,606.32,606.11,606.28,173
20241212  09:25:00,606.27,606.66,606.17,606.63,451
20241212  09:30:00,606.58,606.64,605.9,606.0,7235
20241212  09:35:00,606.01,606.3,605.88,606.08,3498
20241212  09:40:00,606.08,606.45,605.9,606.39,4965
20241212  09:45:00,606.39,606.4,605.91,605.93,2452
20241212  09:50:00,605.93,606.15,605.79,605.86,2456
20241212  09:55:00,605.84,606.24,605.72,606.2,1745
20241212  10:00:00,606.19,606.25,605.7,605.87,2490
20241212  10:05:00,605.82,605.93,605.38,605.5,2811
20241212  10:10:00,605.51,605.6,605.13,605.47,3581
20241212  10:15:00,605.45,605.97,605.27,605.95,3375
20241212  10:20:00,605.94,606.28,605.71,606.2,2260
20241212  10:25:00,606.21,606.66,606.13,606.56,4201
20241212  10:30:00,606.56,606.84,606.49,606.6,3112
20241212  10:35:00,606.6,606.97,606.57,606.88,1386
20241212  10:40:00,606.88,606.94,606.32,606.43,2205
20241212  10:45:00,606.42,606.76,606.34,606.61,1008
20241212  10:50:00,606.6,606.68,606.42,606.56,1171
20241212  10:55:00,606.56,606.84,606.55,606.8,1684
20241212  11:00:00,606.79,607.13,606.62,607.02,1595
20241212  11:05:00,607.02,607.13,606.89,606.92,1201
20241212  11:10:00,606.94,607.16,606.82,606.84,973
20241212  11:15:00,606.86,607.13,606.69,607.11,1059
20241212  11:20:00,607.11,607.14,606.76,606.97,796
20241212  11:25:00,606.97,607.06,606.85,606.87,634
20241212  11:30:00,606.88,606.91,606.67,606.71,824
20241212  11:35:00,606.69,606.81,606.57,606.61,901
20241212  11:40:00,606.6,606.6,606.32,606.45,1892
