Date,Open,High,Low,Close,Volume
2023-12-14 04:00:00,472.05,472.06,471.67,471.67,790
2023-12-14 04:05:00,471.6,471.71,471.56,471.68,19
2023-12-14 04:10:00,471.71,471.81,471.51,471.51,32
2023-12-14 04:15:00,471.5,471.56,471.43,471.46,15
2023-12-14 04:20:00,471.52,471.52,471.3,471.31,28
2023-12-14 04:25:00,471.56,471.56,471.4,471.4,115
2023-12-14 04:30:00,471.48,471.52,471.46,471.46,11
2023-12-14 04:35:00,471.33,471.49,471.32,471.48,12
2023-12-14 04:40:00,471.55,471.55,471.55,471.55,2
2023-12-14 04:45:00,471.51,471.6,471.47,471.52,18
2023-12-14 04:50:00,471.46,471.53,471.46,471.53,6
2023-12-14 04:55:00,471.56,471.56,471.45,471.52,112
2023-12-14 05:00:00,471.59,471.59,471.41,471.54,86
2023-12-14 05:05:00,471.55,471.59,471.53,471.53,8
2023-12-14 05:10:00,471.61,471.64,471.61,471.62,6
2023-12-14 05:15:00,471.78,471.78,471.75,471.75,6
2023-12-14 05:20:00,471.9,471.98,471.9,471.98,16
2023-12-14 05:25:00,471.87,471.87,471.86,471.86,2
2023-12-14 05:30:00,472.03,472.07,472.03,472.07,2
2023-12-14 05:35:00,472.02,472.1,472.02,472.06,11
2023-12-14 05:40:00,472.21,472.25,472.21,472.22,92
2023-12-14 05:45:00,472.22,472.22,472.21,472.21,113
2023-12-14 05:50:00,472.2,472.2,472.0,472.0,20
2023-12-14 05:55:00,472.0,472.0,471.88,471.9,69
2023-12-14 06:00:00,472.03,472.03,471.8,471.8,7
2023-12-14 06:05:00,471.83,471.86,471.83,471.86,5
2023-12-14 06:10:00,472.0,472.12,472.0,472.12,43
2023-12-14 06:15:00,472.24,472.24,472.09,472.09,4
2023-12-14 06:20:00,472.09,472.09,472.02,472.02,52
2023-12-14 06:25:00,471.95,471.95,471.95,471.95,3
2023-12-14 06:30:00,471.92,471.92,471.87,471.87,7
2023-12-14 06:35:00,471.76,471.81,471.63,471.7,34
2023-12-14 06:40:00,471.84,471.95,471.84,471.88,260
2023-12-14 06:45:00,471.78,471.78,471.71,471.71,12
2023-12-14 06:50:00,471.78,471.78,471.69,471.78,20
2023-12-14 06:55:00,471.77,471.94,471.77,471.92,34
2023-12-14 07:00:00,471.8,472.04,471.8,472.04,178
2023-12-14 07:05:00,472.07,472.13,471.97,471.99,149
2023-12-14 07:10:00,472.05,472.15,472.05,472.1,43
2023-12-14 07:15:00,472.13,472.26,472.13,472.17,33
2023-12-14 07:20:00,472.21,472.34,472.21,472.31,218
2023-12-14 07:25:00,472.34,472.36,472.15,472.19,49
2023-12-14 07:30:00,472.2,472.29,472.17,472.27,47
2023-12-14 07:35:00,472.32,472.32,472.15,472.17,154
2023-12-14 07:40:00,472.18,472.25,472.1,472.23,104
2023-12-14 07:45:00,472.24,472.32,472.21,472.32,180
2023-12-14 07:50:00,472.34,472.4,472.18,472.22,140
2023-12-14 07:55:00,472.19,472.23,472.13,472.17,61
2023-12-14 08:00:00,471.8,472.5,471.37,471.9,573
2023-12-14 08:05:00,471.91,472.69,471.76,471.8,132
2023-12-14 08:10:00,471.8,472.0,471.8,471.97,507
2023-12-14 08:15:00,471.93,472.11,471.74,471.8,186
2023-12-14 08:20:00,471.79,472.01,471.79,471.88,328
2023-12-14 08:25:00,471.92,472.2,471.88,472.09,177
2023-12-14 08:30:00,472.02,472.15,471.68,471.95,1244
2023-12-14 08:35:00,471.93,472.29,471.82,472.28,936
2023-12-14 08:40:00,472.27,472.91,472.24,472.82,767
2023-12-14 08:45:00,472.8,472.9,472.68,472.82,413
2023-12-14 08:50:00,472.8,472.95,472.72,472.95,769
2023-12-14 08:55:00,472.98,473.31,472.96,473.31,461
2023-12-14 09:00:00,473.33,473.39,473.15,473.38,313
2023-12-14 09:05:00,473.38,473.55,473.12,473.15,2239
